"消費者物價基本分類指數-月 依 期間, 基本分類 與 種類"

" ","總指數"
" ","原始值"
"1981M01",58.05
"1981M02",59.04
"1981M03",59.30
"1981M04",59.54
"1981M05",59.31
"1981M06",59.87
"1981M07",60.10
"1981M08",60.69
"1981M09",61.42
"1981M10",61.08
"1981M11",60.67
"1981M12",60.59
"1982M01",60.98
"1982M02",60.79
"1982M03",60.94
"1982M04",61.10
"1982M05",61.47
"1982M06",61.60
"1982M07",61.56
"1982M08",63.42
"1982M09",62.84
"1982M10",62.33
"1982M11",61.83
"1982M12",62.06
"1983M01",62.08
"1983M02",62.70
"1983M03",62.96
"1983M04",63.24
"1983M05",62.80
"1983M06",63.27
"1983M07",62.56
"1983M08",62.53
"1983M09",62.72
"1983M10",62.70
"1983M11",62.17
"1983M12",61.32
"1984M01",61.37
"1984M02",61.98
"1984M03",62.15
"1984M04",62.27
"1984M05",63.03
"1984M06",62.97
"1984M07",62.81
"1984M08",63.04
"1984M09",63.25
"1984M10",62.99
"1984M11",62.64
"1984M12",62.33
"1985M01",62.36
"1985M02",62.86
"1985M03",62.89
"1985M04",62.58
"1985M05",62.38
"1985M06",62.29
"1985M07",62.35
"1985M08",62.08
"1985M09",63.11
"1985M10",63.05
"1985M11",62.16
"1985M12",61.52
"1986M01",62.10
"1986M02",62.27
"1986M03",62.26
"1986M04",62.42
"1986M05",62.50
"1986M06",62.66
"1986M07",62.50
"1986M08",62.85
"1986M09",64.44
"1986M10",64.31
"1986M11",63.41
"1986M12",63.13
"1987M01",62.96
"1987M02",62.84
"1987M03",62.34
"1987M04",62.56
"1987M05",62.57
"1987M06",62.62
"1987M07",63.34
"1987M08",63.86
"1987M09",64.09
"1987M10",63.51
"1987M11",63.69
"1987M12",64.35
"1988M01",63.31
"1988M02",63.06
"1988M03",62.70
"1988M04",62.78
"1988M05",63.49
"1988M06",63.88
"1988M07",63.88
"1988M08",64.78
"1988M09",64.99
"1988M10",65.45
"1988M11",65.12
"1988M12",65.06
"1989M01",65.06
"1989M02",65.63
"1989M03",65.79
"1989M04",66.38
"1989M05",66.87
"1989M06",66.69
"1989M07",66.38
"1989M08",66.93
"1989M09",68.69
"1989M10",69.34
"1989M11",67.56
"1989M12",67.10
"1990M01",67.57
"1990M02",67.47
"1990M03",67.98
"1990M04",68.65
"1990M05",69.36
"1990M06",69.10
"1990M07",69.56
"1990M08",70.72
"1990M09",73.17
"1990M10",71.59
"1990M11",70.21
"1990M12",70.16
"1991M01",70.94
"1991M02",71.36
"1991M03",71.01
"1991M04",71.47
"1991M05",71.72
"1991M06",71.88
"1991M07",72.38
"1991M08",72.55
"1991M09",72.65
"1991M10",73.37
"1991M11",73.59
"1991M12",72.88
"1992M01",73.61
"1992M02",74.26
"1992M03",74.35
"1992M04",75.56
"1992M05",75.82
"1992M06",75.61
"1992M07",75.06
"1992M08",74.72
"1992M09",77.13
"1992M10",77.10
"1992M11",75.87
"1992M12",75.37
"1993M01",76.30
"1993M02",76.53
"1993M03",76.77
"1993M04",77.65
"1993M05",77.39
"1993M06",78.89
"1993M07",77.53
"1993M08",77.20
"1993M09",77.70
"1993M10",78.04
"1993M11",78.21
"1993M12",78.86
"1994M01",78.52
"1994M02",79.54
"1994M03",79.32
"1994M04",80.04
"1994M05",80.78
"1994M06",80.58
"1994M07",80.74
"1994M08",82.65
"1994M09",82.90
"1994M10",82.00
"1994M11",81.25
"1994M12",80.95
"1995M01",82.63
"1995M02",82.27
"1995M03",82.38
"1995M04",83.59
"1995M05",83.44
"1995M06",84.34
"1995M07",83.85
"1995M08",84.06
"1995M09",84.56
"1995M10",84.35
"1995M11",84.69
"1995M12",84.65
"1996M01",84.52
"1996M02",85.36
"1996M03",84.86
"1996M04",85.95
"1996M05",85.84
"1996M06",86.35
"1996M07",85.06
"1996M08",88.30
"1996M09",87.81
"1996M10",87.46
"1996M11",87.40
"1996M12",86.79
"1997M01",86.19
"1997M02",87.11
"1997M03",85.79
"1997M04",86.38
"1997M05",86.49
"1997M06",87.93
"1997M07",87.88
"1997M08",87.79
"1997M09",88.36
"1997M10",87.18
"1997M11",86.94
"1997M12",87.02
"1998M01",87.91
"1998M02",87.37
"1998M03",87.91
"1998M04",88.21
"1998M05",87.93
"1998M06",89.20
"1998M07",88.62
"1998M08",88.18
"1998M09",88.72
"1998M10",89.43
"1998M11",90.34
"1998M12",88.86
"1999M01",88.26
"1999M02",89.20
"1999M03",87.50
"1999M04",88.12
"1999M05",88.36
"1999M06",88.45
"1999M07",87.89
"1999M08",89.19
"1999M09",89.24
"1999M10",89.79
"1999M11",89.53
"1999M12",88.99
"2000M01",88.71
"2000M02",90.02
"2000M03",88.48
"2000M04",89.22
"2000M05",89.77
"2000M06",89.65
"2000M07",89.16
"2000M08",89.44
"2000M09",90.69
"2000M10",90.71
"2000M11",91.55
"2000M12",90.46
"2001M01",90.80
"2001M02",89.10
"2001M03",88.86
"2001M04",89.59
"2001M05",89.57
"2001M06",89.52
"2001M07",89.25
"2001M08",89.84
"2001M09",90.22
"2001M10",91.59
"2001M11",90.51
"2001M12",88.93
"2002M01",89.28
"2002M02",90.36
"2002M03",88.87
"2002M04",89.78
"2002M05",89.34
"2002M06",89.61
"2002M07",89.62
"2002M08",89.59
"2002M09",89.53
"2002M10",90.03
"2002M11",90.00
"2002M12",89.61
"2003M01",90.25
"2003M02",88.99
"2003M03",88.71
"2003M04",89.68
"2003M05",89.63
"2003M06",89.11
"2003M07",88.74
"2003M08",89.07
"2003M09",89.34
"2003M10",89.98
"2003M11",89.58
"2003M12",89.56
"2004M01",90.26
"2004M02",89.56
"2004M03",89.50
"2004M04",90.53
"2004M05",90.45
"2004M06",90.66
"2004M07",91.70
"2004M08",91.34
"2004M09",91.83
"2004M10",92.13
"2004M11",90.95
"2004M12",91.01
"2005M01",90.70
"2005M02",91.30
"2005M03",91.56
"2005M04",92.02
"2005M05",92.53
"2005M06",92.82
"2005M07",93.90
"2005M08",94.60
"2005M09",94.73
"2005M10",94.66
"2005M11",93.23
"2005M12",93.02
"2006M01",93.12
"2006M02",92.20
"2006M03",91.94
"2006M04",93.15
"2006M05",94.00
"2006M06",94.43
"2006M07",94.64
"2006M08",94.07
"2006M09",93.56
"2006M10",93.53
"2006M11",93.45
"2006M12",93.65
"2007M01",93.45
"2007M02",93.81
"2007M03",92.72
"2007M04",93.79
"2007M05",93.98
"2007M06",94.55
"2007M07",94.33
"2007M08",95.58
"2007M09",96.47
"2007M10",98.52
"2007M11",97.94
"2007M12",96.77
"2008M01",96.20
"2008M02",97.43
"2008M03",96.38
"2008M04",97.42
"2008M05",97.47
"2008M06",99.25
"2008M07",99.81
"2008M08",100.06
"2008M09",99.46
"2008M10",100.87
"2008M11",99.83
"2008M12",97.99
"2009M01",97.62
"2009M02",96.13
"2009M03",96.24
"2009M04",96.97
"2009M05",97.38
"2009M06",97.29
"2009M07",97.48
"2009M08",99.24
"2009M09",98.58
"2009M10",98.96
"2009M11",98.22
"2009M12",97.75
"2010M01",97.87
"2010M02",98.39
"2010M03",97.45
"2010M04",98.27
"2010M05",98.12
"2010M06",98.45
"2010M07",98.76
"2010M08",98.77
"2010M09",98.87
"2010M10",99.52
"2010M11",99.71
"2010M12",98.96
"2011M01",98.95
"2011M02",99.69
"2011M03",98.82
"2011M04",99.56
"2011M05",99.75
"2011M06",100.37
"2011M07",100.07
"2011M08",100.10
"2011M09",100.23
"2011M10",100.77
"2011M11",100.74
"2011M12",100.97
"2012M01",101.28
"2012M02",99.94
"2012M03",100.06
"2012M04",100.99
"2012M05",101.49
"2012M06",102.14
"2012M07",102.53
"2012M08",103.53
"2012M09",103.19
"2012M10",103.12
"2012M11",102.34
"2012M12",102.59
"2013M01",102.41
"2013M02",102.90
"2013M03",101.42
"2013M04",102.05
"2013M05",102.24
"2013M06",102.75
"2013M07",102.59
"2013M08",102.72
"2013M09",104.06
"2013M10",103.78
"2013M11",103.04
"2013M12",102.94
"2014M01",103.26
"2014M02",102.86
"2014M03",103.05
"2014M04",103.74
"2014M05",103.90
"2014M06",104.43
"2014M07",104.40
"2014M08",104.85
"2014M09",104.80
"2014M10",104.87
"2014M11",103.92
"2014M12",103.56
"2015M01",102.29
"2015M02",102.65
"2015M03",102.41
"2015M04",102.89
"2015M05",103.14
"2015M06",103.84
"2015M07",103.74
"2015M08",104.39
"2015M09",105.11
"2015M10",105.20
"2015M11",104.47
"2015M12",103.70
"2016M01",103.12
"2016M02",105.12
"2016M03",104.47
"2016M04",104.81
"2016M05",104.42
"2016M06",104.79
"2016M07",105.02

"(http://www.stat.gov.tw/lp.asp?ctNode=486&CtUnit=331&BaseDSD=7) more "
"(http://www.stat.gov.tw/lp.asp?CtNode=1829&CtUnit=690&BaseDSD=7&xq_xC-"
"at=11) 國情統計通報 "
"*由於受查者延誤或更正報價，最近3個月資料均可能修正。 "
" "

